日付け,終値,,,,,
10月 2003,35.03,,,,,
９月 2003,32.29,,,,,
８月 2003,33.25,,,,,
７月 2003,31.67,,,,,
６月 2003,29.83,,,,,
５月2003,29.67,,,,,
４月2003,27.34,,,,,
３月 2003,25.15,,,,,
２月 2003,25.06,,,,,
１月 2003,24.34,,,,,
12月 2002,24.27,,,,,
11月 2002,27.61,,,,,
10月 2002,24.45,,,,,
９月 2002,20.63,,,,,
８月 2002,23.39,,,,,
７月 2002,23.75,,,,,
６月 2002,25.99,,,,,
５月2002,29.92,,,,,
４月2002,31.6,,,,,
３月 2002,35.91,,,,,
２月 2002,33.64,,,,,
１月 2002,38.35,,,,,
12月 2001,38.75,,,,,
11月 2001,39.49,,,,,
10月 2001,33.76,,,,,
９月 2001,28.86,,,,,
８月 2001,36.48,,,,,
７月 2001,41.59,,,,,
６月 2001,45.51,,,,,
５月2001,44.55,,,,,
４月2001,45.96,,,,,
３月 2001,38.99,,,,,
２月 2001,47.25,,,,,
１月 2001,64.03,,,,,
12月 2000,58.13,,,,,
11月 2000,62.72,,,,,
10月 2000,81.37,,,,,
９月 2000,88.38,,,,,
８月 2000,101.2,,,,,
７月 2000,89.07,,,,,
６月 2000,93.05,,,,,
５月2000,82.78,,,,,
４月2000,94.36,,,,,
３月 2000,109.05,,,,,
２月 2000,106.31,,,,,
１月 2000,89.32,,,,,
12月 1999,91,,,,,
11月 1999,73.2,,,,,
10月 1999,65.48,,,,,
９月 1999,59.94,,,,,
８月 1999,59.44,,,,,
７月 1999,56.36,,,,,
６月 1999,57.39,,,,,
５月1999,51.82,,,,,
４月1999,53.5,,,,,
